"ID","Processo SEI","Ano","Objetivo","Região","Situação","Tipo Documento","Destinatário","Direta/Indireta","Programada","SEI Documento","Data","Constatações","Não Conformes","Recomendações","Determinações","TN","AI","TAC","Conformidade","Latitude","Longitude"
"1","00197-00000857/2023-65","2023","Descumprimento no tempo de reparo para conserto de vazamento de água estabelecido pela Lei Distrital n.º 5618/2016, conforme reclamação apresentada à Ouvidoria da Adasa sob o número OUV-076786/2023 (Alexandre Gomes Pereira, OSM 2017275032381883).","Plano Piloto","Concluída","Fiscalização do SAA","","Direta","Não programada","111400923","","1","1","0","2","1","1","0","0","-15.802465967277595","-47.89187961657803"
"2","00197-00001354/2023-15","2024","O objetivo dessa ação foi analisar as informações apresentadas no Relatório de Execução de 2022 do Plano de Exploração.","Plano Piloto","Em Andamento","ROTINA","","Indireta","Programada","133281358","","7","0","2","0","0","0","0","100","-15.79727925092558","-47.88494828666042"
"4","00197-00002697/2018-21","2024","O objetivo desse relatório é apresentar o relato do monitoramento desta Superintendência, em relação ao ano de 2023, das ações da Caesb voltadas ao controle e à redução de perdas no sistema de distribuição de água.","Plano Piloto","Em Andamento","Fiscalização do SAA","","Indireta","Programada","131869477","","9","0","0","6","0","0","0","100","-15.802808624445559","-47.87782170009077"
"5","00197-00000493/2023-13","2024","O objetivo dessa ação foi fiscalizar o status da operação da captação e da Estação Elevatória de Água Bruta de Santa Maria.","Plano Piloto","Em Andamento","Fiscalização do SAA","","Direta","Programada","135580632","","3","0","0","0","0","0","0","100","-15.788111214094396","-47.87938094991346"
"6","00197-00000244/2024-17","2024","Análise das ações de 2022 (e algumas de 2023) relacionadas ao abastecimento de água em áreas rurais do DF.","Plano Piloto","Concluída","Fiscalização do SAA","","Indireta","Programada","136963596","","5","0","0","0","0","0","0","100","-15.800443638189636","-47.87392461716295"
"7","00197-00000467/2024-76","2024","O objetivo dessa ação foi fiscalizar melhorias realizadas no sistema de drenagem Barragem do Descoberto.","Ceilândia","Concluída","Fiscalização do SAA","","Direta","Programada","136053627","","2","0","0","0","0","0","0","100","",""
"8","00197-00000632/2024-90","2024","Cuidam os autos de análise das reclamações apresentadas à Adasa acerca do descumprimento do prazo de reparo de vazamento de água, previsto para até 48 horas após comunicação, salvo em situações previstas na Lei n.º 5.618/2016.","Plano Piloto","Concluída","Fiscalização do SAA","","Indireta","Não programada","134892917","","1","0","1","0","1","0","0","100","-15.786222152652854","-47.88588689399568"
"9","00197-00000774/2024-57","2024","O objetivo dessa ação foi fiscalizar a denúncia do Aterro Sanitário de Brasília (ASB) , sobre um escoamento de um efluente vindo supostamente da Estação de Tratamento de Esgoto Melchior (CAESB).","Samambaia","Em Andamento","Fiscalização do SES","","Direta","Programada","135999089","","2","0","0","2","0","0","0","100","-15.870633599909432","-48.09544985079282"
"10","00197-00000763/2020-43","2024","O objetivo dessa ação foi verificar o Sistema de Abastecimento de Água de Engenho das Lajes em virtude das ocorrências do aumento da turbidez em meados de março deste ano, assim como vistoriar as melhorias realizadas na unidade de captação.","Plano Piloto","Em Andamento","Fiscalização do SAA","","Direta","Não programada","139145702","","3","0","1","0","0","0","0","100","-15.80377277952952","-47.8728727352539"
"11","00197-00002124/2020-12","2024","Obter informações atualizadas da ETA Pipiripau e da ETA Planaltina.
 Vistoriar as captações Fumal e Brejinho e averiguar a qualidade da água em virtude  da suspeita de contaminação com mercúrio.
Verificar as melhorias na ETA Planaltina.","Planaltina","Em Andamento","Fiscalização do SAA","","Direta","Programada","142208326","","4","0","0","1","0","0","0","100","-15.629988220460298","-47.64746966783093"
